,Quotes,Characters
12285,It worked Gravity normal air returning Terror replaced by cautious optimism We did it Fry  Happy Valentines Day Fry,Leela
12289,Well at least it sounds like you were able to keep your consciousness separate from hers,Leela
12291,Well I guess wed better clean up these millions of hearts,Fry
12292,Nah Ive got a lazier idea,Leela
12296,Hi Mom Hi Dad Ready for your big trip to the surface,Leela
12298,Dad relax You are being so mutant,Leela
12300,No ones wearing anything adorable over their head Now listen I could never ever be ashamed of my parents Ill see you this weekend,Leela
12301,Hey guess who I just got off the videophone with,Leela
12303,My parents Theyre coming up from the sewers for a visit Sunday,Leela
12305,Im getting them a special oneday surface permit from Citihall,Leela
12307,Sure Bare hands or weapon,Leela
12311,Lets see what tools well need  Uhhuh Alright were all set,Fry
12314,Those Swedes sure know how to put in almost everything you need,Fry
12315,Man Im sore all over I feel like I just went ten rounds with Mighty Thor,Leela
12316,I feel like I was mauled by Jesus,Fry
12320,I dont believe that story for a second,Leela
12322,Theres no bus to Jersey City,Fry
12325,Im too scared to find my pocket Here Ill just take of my pants and give you those,Fry
12330,How did we manage to survive What gave us those strange powers,Leela
12331,Maybe were all wearing magic rings but theyre invisible rings so we dont even realise it Also you cant feel the rings,Fry
12332,Fry shut up and look at this  May cause superpowers in humans,Leela
12333,Wow A superpowers drug you can just rub into your skin Youd think itd be something you have to freebase,Fry
12334,Lets see Which powers do we have Superstrength,Leela
12338,Yes sir  Ability to command the loyalty of sea creatures,Leela
12339,Hey Zoidberg get in here,Fry
12343,Wow Superpowers Ill be able to pack my day with twice as many humdrum activities,Leela
12344,Leela I think youre missing the big picture When you were a kid what was your biggest fantasy,Fry
12346,Whatever The correct answer is,Fry
12347,Hmm I have been looking for a way to serve the community that incorporates my violence Lets do it,Leela
12348,Youll barely regret this,Fry
12350,Its true Thanks to this funkyfresh cream,Leela
12351,Now me and Leela are forming an awesome crimefighting duo,Fry
12353,Wed love to have you on the team Bender But arent you more on the supply side of crime,Leela
12354,Plus the cream wont give you superpowers Youre a robot,Fry
12358,A new era of justice has begun,Leela
12378,Sure Im listed in the phone book so once I reveal my real name to you along with my home address and a copy of my birth certificate,Fry
12379,Are you crazy We have to keep our secret identities secret,Leela
12381,Especially from everybody,Leela
12382,Give several reasons why,Fry
12383,For one superheroes cause a lot of collateral damage and we dont wanna get our butts sued,Leela
12384,Or do we No I guess not,Fry
12385,Also if our identities get out every crook in the city will be after us Or God forbid our loved ones,Leela
12388,Thank you Mayor Poopenmeyer,Leela
12392,Well so long Keep in touch,Leela
12394,Oh I completely forgot I left my apartment on fire,Leela
12396,And I cant take life anymore,Fry
12402,You can count on us Mr Mayor Justice away,Leela
12405,Uh Leela how you gonna meet your folks tomorrow Weve already scheduled the Zookeeper for a 9am foiling at the museum,Fry
12406,Not a problem Ive cleverly arranged to meet my parents right there at the same museum at 10,Leela
12408,I cant believe the Zookeeper is this late for his own heist Its just rude  There they are,Leela
12416,Youre not stealing anything Nobody hit the deck,Leela
12427,Forget it Zookeeper Youre going into captivity,Leela
12429,No Fry You cant fall fast enough,Leela
12432,Yet the Zookeeper escaped thus proving that the deadliest animal of all is the Zookeeper,Fry
12434,Oh no My parents are leaving Ive gotta go change back into streetLeela,Leela
12439,Mom Dad I showed up And I got the audio tour for Treasures of Liberaces Tomb,Leela
12441,I wanna tell you why I didnt show up but I cant Just please believe me that it was a very good reason Im sorry I disappointed you,Leela
12444,Oh I cant take it Mom Dad Im Clobberella,Leela
12448,No listen Its very important that you never ever tell anyone under any circumstance,Leela
12450,Dad you drink No Not even then,Leela
12452,In fact I shouldnt even be wearing this around here  It was brisk I dressed in layers,Leela
12462,Uh Professor isnt it time for your nap,Leela
12464,Zookeeper How did you know our real identities,Leela
12467,Leela is the person that parrot is mimicking telling the truth by proxy,Fry
12468,Yes My parents were so hurt I couldnt help it But I distinctly told them not to tell anyone,Leela
12473,Are you alright Has he hurt you,Leela
12476,Alright Zookeeper What do you want,Leela
12479,Were out of options We have to steal the Gemerald,Leela
12480,But should superheroes commit a crime even to save lives I need moral guidance Bender,Fry
12482,Oh no Our superpower cream is out of itself,Fry
12483,Check inside the cap There might be a cakedin goldmine,Leela
12484,El zilcho Im afraid were boned,Fry
12486,Just be cool Nobody knows were superpowerly challenged,Leela
12487,Man this costume is so damn heavy,Fry
12491,Big O little k my friend Just checking if everythings alright,Leela
12496,Stay back Or well beat the tar out of you  using superpowers,Leela
12502,That seemed unnecessary,Fry
12504,Mom Dad Oh Im so sorry I got you kidnapped by a crazy madman who tried to feed you to piranhas,Leela
12506,No no Its my fault for telling you I was a superhero,Leela
12508,I just couldnt stand to have you to think I was ashamed of you,Leela
12516,I guess as long as you think its right,Fry
12520,Theres no denying it the futures crazy Oh well Dont wanna stand out,Fry
12521,"Freedom freedom freedom oy
Freedom freedom freedom oy",Fry
12524,So what is Freedom Day Sounds like some kind of feminine hygiene product,Fry
12531,Wow Nude hottubbing Thats all I need to hear about Freedom Day,Fry
12556,Anyone who laughs is a Communist,Fry
12570,Cool your jowls Nixon You may not like it that Dr Zoidberg desecrated a flag You might even find the image of it festering in his bowels somehow offensive But the right to freedom of expression is guaranteed by the Earth Constitution,Leela
12578,They sure hate Dr Zoidberg,Fry
12580,Where are we ever going to find a lawyer to take his case,Fry
12581,Ill ask the head of the ACLU  once hes done singing,Leela
12586,Ill never remember that,Fry
12592,Wait youre a lawyer Youre hired,Fry
12593,You OK there in the embassy Zoidberg,Fry
12640,Dr Zoidberg how can you claim to love freedom and then enslave all of Earth,Leela
12645,Im no good at being a slave Im thinking about graduate school Yknow to become a barber,Fry
12646,This cant go on Today is the day we fight back,Leela
12648,Oh youre right Tomorrow is the day we fight back,Leela
12651,Hey wait Im having one of those things You know a headache with pictures,Fry
12653,Back in my day we didnt have your fancy alldigital weapons but we still managed to kill each other just fine,Fry
12655,Not big enough We need something that can take out an entire army Something you could commit a war crime with,Fry
12668,You havent won yet Mervin You didnt expect us to even go to a museum much less steal this ancient heatseeking missile,Fry
12674,Zoidberg how could you I used to think you were cool,Fry
12676,Zoidberg you set us free I feel like I could stand to hug you I cant but you know what Im trying to say,Leela
12712,Do you two have to imitate everything you see on TV,Leela
12734,This shows been going downhill since season three,Fry
12736,Since when are you performing at childrens parties,Leela
12753,Bender your swarthy Latin charm will only get you so far Theres a lot of famous child acting units here,Leela
12754,Look Theres Macaulay Culkon,Fry
12755,Hes just not cute since he got puberty installed,Leela
12756,Pst Theres that robot child actor who grew up and robbed a convenience store,Fry
12757,And theres that robot child actor who grew up and became a convenience store,Leela
12843,Pft What kind of bozos would start a Bender protest group,Fry
12850,As unclean as it makes me feel I agree with Bender Kids dont turn rotten just from watching TV,Leela
12851,Yeah Give a little credit to our public schools,Fry
12935,Weve got nothing better to do,Fry
12936,Than watch TV and have a couple of brews,Leela
12944,Blernsday Night Blernsball,Leela
12947,Amazing Thats why they call you Bender the Magnificent,Fry
12949,Whoa They discovered an intact 20th century pizzeria just like the one I used to work at,Fry
12951,Lets go check it out You can see how I lived before I met you,Fry
12953,Sure Lots of people did,Fry
12957,Wait a second This is Panuccis I used to work in this exact pizzeria  And for your information lady this was not just used to paddle my butt It was also used to move pizzas and crush rats,Fry
